Company,Industry,Company Description,Confidence,Method,Source URL,Enriched At
Alexforbes,finance,"At Alexforbes we pioneer insights to provide you with advice that connects your decisions of today to your impact tomorrow with investment, retirement, healthcare and administration solutions.",high,brightdata_company_cache,https://www.linkedin.com/in/anathi-tshabe,2026-06-13T09:10:31Z
Alice (Formerly ActiveFence),other,,medium,needs_web_or_llm_research;needs_web_or_llm_research,https://www.linkedin.com/in/uri-klempner,2026-06-13T09:10:31Z
All Americans Vote,nonprofit,,medium,brightdata_company_cache,https://www.linkedin.com/in/evan-quaintance-8025a5176,2026-06-13T09:10:31Z
All Pakistan Students' Movement,other,,low,needs_web_or_llm_research;needs_web_or_llm_research,https://www.linkedin.com/in/hamzamuhammadkhawaja,2026-06-13T09:10:31Z
Alliance for Local Leaders International,nonprofit,"Local elected leaders, consistently the most trusted politicians in opinion polls, play a critical role in communities across the globe -- from AI to extreme weather to federal overreach, mayors and governors are on the frontlines shaping policy that serves.",high,brightdata_company_cache,https://www.linkedin.com/in/maya-guzdar,2026-06-13T09:10:31Z
Alliance for mRNA Medicines,tech,"The Alliance for mRNA Medicines (AMM) is the leading global organization dedicated to advancing and advocating for mRNA medicines and next-generation coding RNA therapies for the benefit of patients, public health, and society.",high,brightdata_company_cache,https://www.linkedin.com/in/sophia-lugo-6b8091123,2026-06-13T09:10:31Z
Allston Labs,other,,medium,needs_web_or_llm_research;needs_web_or_llm_research,https://www.linkedin.com/in/phillipan,2026-06-13T09:10:31Z
Alpine Bridge Group,consulting,,medium,brightdata_company_cache,https://www.linkedin.com/in/kay-glaeske,2026-06-13T09:10:31Z
Alpine Investors,other,,low,needs_web_or_llm_research;needs_web_or_llm_research,https://www.linkedin.com/in/conor-o-meara,2026-06-13T09:10:31Z
AltFinance,academia,"AltFinance: Investing in Black Futures is a 10-year, $90 million initiative established by Apollo Global Management, Inc., Ares Management Corporation, and Oaktree Capital Management, L.P. to help diversify the financial services industry.",high,brightdata_company_cache,https://www.linkedin.com/in/aleisha-sawyer-18sc,2026-06-13T09:10:31Z
Altana,tech,"Altana is the network for trusted trade, empowering a new era of global commerce by uniting businesses and governments on an AI-powered platform to build a more resilient and secure global supply chain.",high,brightdata_company_cache,https://www.linkedin.com/in/kevin-bassney,2026-06-13T09:10:31Z
Alvarez & Marsal,consulting,"Alvarez & Marsal is a leading global professional services firm dedicated to helping organizations tackle their most complex business issues, maximize stakeholder value, and deliver sustainable change.",high,brightdata_company_cache,https://www.linkedin.com/in/suzanne-liu-43404a169,2026-06-13T09:10:31Z
Amadeus,consulting,"We make the experience of travel better for everyone, everywhere by inspiring innovation, partnerships and responsibility to people, places and planet.",high,brightdata_company_cache,https://www.linkedin.com/in/nikhilsiddharth,2026-06-13T09:10:31Z
Amazon,tech,"Amazon is guided by four principles: customer obsession rather than competitor focus, passion for invention, commitment to operational excellence, and long-term thinking.",high,brightdata_company_cache,https://www.linkedin.com/in/caoyuhao,2026-06-13T09:10:31Z
America Achieves,nonprofit,"America Achieves incubates and supports large-scale initiatives to advance economic opportunity, mobility, and pathways to good, local jobs and careers - including for low-income and other underserved populations and communities.",high,brightdata_company_cache,https://www.linkedin.com/in/seth-kolker-86a97825,2026-06-13T09:10:31Z
American Bitcoin,other,,low,needs_web_or_llm_research;needs_web_or_llm_research,https://www.linkedin.com/in/mattprusak,2026-06-13T09:10:31Z
American Councils for International Education,nonprofit,"The world’s most successful institutions and determined nations work with American Councils for International Education through cultural exchange, language training, and professional development.",high,brightdata_company_cache,https://www.linkedin.com/in/jesse-maikarfi,2026-06-13T09:10:31Z
American Express,other,,medium,needs_web_or_llm_research;needs_web_or_llm_research,https://www.linkedin.com/in/albertli421,2026-06-13T09:10:31Z
American Industrial Partners,finance,"American Industrial Partners (“AIP”) is an operationally-oriented middle market private equity firm that is distinctively focused on buying and improving industrial businesses with operations in the U.S., Canada, and other developed markets.",high,brightdata_company_cache,https://www.linkedin.com/in/ytgong,2026-06-13T09:10:31Z
Analog Devices,other,,medium,needs_web_or_llm_research;needs_web_or_llm_research,https://www.linkedin.com/in/xinyi-fang-6153aa16b,2026-06-13T09:10:31Z
Anaplan,other,,medium,needs_web_or_llm_research;needs_web_or_llm_research,https://www.linkedin.com/in/karthik-ramesh-836846127,2026-06-13T09:10:31Z
Anda,other,,medium,needs_web_or_llm_research;needs_web_or_llm_research,https://www.linkedin.com/in/sergiotati,2026-06-13T09:10:31Z
Anduril Industries,government,"Anduril is not a traditional defense contractor. We are shaping the future of defense, transforming US & allied military capabilities with advanced technology.",high,brightdata_company_cache,https://www.linkedin.com/in/henley-schulz,2026-06-13T09:10:31Z
Ant International,other,,medium,needs_web_or_llm_research;needs_web_or_llm_research,https://www.linkedin.com/in/henrykeung,2026-06-13T09:10:31Z
Anthropic,academia,"We're an AI research company that builds reliable, interpretable, and steerable AI systems.",high,brightdata_company_cache,https://www.linkedin.com/in/jessicahong9,2026-06-13T09:10:31Z
Anyone AI,other,"We invest in talent from Latam to bridge the talent gap in AI. Join our AI community: www.anyoneai.com We are AI / ML experts and second-time entrepreneurs, members of the founding team at Deep Vision AI (acquired in early 2020).",high,brightdata_company_cache,https://www.linkedin.com/in/kathiasalazar,2026-06-13T09:10:31Z
Apathy is Boring - L'apathie c'est plate,nonprofit,"Apathy is Boring is a non-partisan, charitable organization that supports and educates youth to be active and contributing citizens in Canada’s democracy.",high,brightdata_company_cache,https://www.linkedin.com/in/habonali,2026-06-13T09:10:31Z
Apax Digital,finance,"Apax Digital specializes in growth equity and buyout investments in high-growth enterprise software, internet, and technology-enabled services companies worldwide.",high,brightdata_company_cache,https://www.linkedin.com/in/molly-reiner-1b807399,2026-06-13T09:10:31Z
"Apollo Global Management, Inc.",finance,"Apollo is a high-growth, global alternative asset manager. In our asset management business, we seek to provide our clients excess return at every point along the risk-reward spectrum from investment grade credit to private equity.",high,brightdata_company_cache,https://www.linkedin.com/in/malaika-thiam-bockman,2026-06-13T09:10:31Z
Apple,tech,"We’re a diverse collective of thinkers and doers, continually reimagining what’s possible to help us all do what we love in new ways.",high,brightdata_company_cache,https://www.linkedin.com/in/veronica-chua,2026-06-13T09:10:31Z
Arab Youth Center,government,The Center works on initiatives led by the Arab youth to create opportunities that allows youth to contribute to national efforts and endeavors for sustainable development.,high,brightdata_company_cache,https://www.linkedin.com/in/maha-alabduljabbar,2026-06-13T09:10:31Z
Arcadis,other,"Arcadis is a leading global partner, delivering transformative projects with businesses, cities and industries.",high,brightdata_company_cache,https://www.linkedin.com/in/thomasdhughes,2026-06-13T09:10:31Z
Archdiocese of Philadelphia,other,"We, the faithful of the Roman Catholic Church in Philadelphia in communion with our Holy Father, shepherd of the universal Church, and our Archbishop, shepherd of the Church in Philadelphia, proclaim to everyone the Good News that Jesus Christ is the Light.",high,brightdata_company_cache,https://www.linkedin.com/in/ryan-morris96,2026-06-13T09:10:31Z
Archismile,academia,ArchiSmile is a social enterprise that provides products and services that use art as an educational methodology.,high,brightdata_company_cache,https://www.linkedin.com/in/lina-abojaradeh,2026-06-13T09:10:31Z
Arkansas Times,media,"Arkansas Times print advertisers reach over 100,000 readers or about 25% of the adults in Central Arkansas – each week.",high,brightdata_company_cache,https://www.linkedin.com/in/leon-jones-iii-07b1811a6,2026-06-13T09:10:31Z
Asia Society,tech,Asia Society is dedicated to understanding Asia and its role in the world.,high,brightdata_company_cache,https://www.linkedin.com/in/bryanna-entwistle,2026-06-13T09:10:31Z
Asia Society Switzerland,other,,medium,needs_web_or_llm_research;needs_web_or_llm_research,https://www.linkedin.com/in/fkoh,2026-06-13T09:10:31Z
Asian Development Bank (ADB),nonprofit,"Working together with our partners, we help solve Asia and the Pacific’s most complex development challenges",high,brightdata_company_cache,https://www.linkedin.com/in/vanshicakant,2026-06-13T09:10:31Z
Asian Infrastructure Investment Bank (AIIB),nonprofit,The Asian Infrastructure Investment Bank (AIIB) is a multilateral development bank whose mission is Financing Infrastructure for Tomorrow in Asia and beyond—infrastructure with sustainability at its core.,high,brightdata_company_cache,https://www.linkedin.com/in/maha-latif-%e6%9e%97%e6%9b%bc%e5%92%8c-4a646a190,2026-06-13T09:10:31Z
Asian University Basketball League (AUBL),academia,Asian University Basketball League (AUBL) is a academia organization.,high,heuristic_company_name_v1;heuristic_template_v1,https://www.linkedin.com/in/jayjintianli,2026-06-13T09:10:31Z
Ask a Chief of Staff,other,Ask a Chief of Staff supports & empowers Chiefs of Staff in their purpose to drive organizational success.,high,brightdata_company_cache,https://www.linkedin.com/in/clarama,2026-06-13T09:10:31Z
Associated Students Inc. - Fresno State,government,"The purpose of Associated Students, Incorporated (ASI) at California State University, Fresno is to provide a means for responsible and effective participation in the governance of the campus and quality of the educational experience by: - Providing an.",high,brightdata_company_cache,https://www.linkedin.com/in/camalah-saleh-28b077279,2026-06-13T09:10:31Z
AstraZeneca,other,,low,needs_web_or_llm_research;needs_web_or_llm_research,https://www.linkedin.com/in/lloydnunag,2026-06-13T09:10:31Z
Atelier Oblique,other,,medium,company_intelligence_cache,https://www.linkedin.com/in/matthew-raja,2026-06-13T09:10:31Z
Atlas Park,other,Atlas Park is a natural resource investor. We combine expert human geoscience with artificial intelligence to identify asymmetric investment opportunities in the natural world.,high,brightdata_company_cache,https://www.linkedin.com/in/solal-kapelian-702756152,2026-06-13T09:10:31Z
Australian Department of Foreign Affairs and Trade,government,"The Department of Foreign Affairs and Trade (DFAT) works with international partners and other countries to tackle global challenges, increase trade and investment opportunities, protect international rules, keep our region stable and help Australians.",high,brightdata_company_cache,https://www.linkedin.com/in/huwhutchison,2026-06-13T09:10:31Z
Australian Strategic Policy Institute,academia,Australian Strategic Policy Institute is a academia organization.,high,heuristic_company_name_v1;heuristic_template_v1,https://www.linkedin.com/in/jacintak,2026-06-13T09:10:31Z
Auswärtiges Amt (Federal Foreign Office) Germany,government,The Federal Foreign Office represents Germany’s interests to the world.,high,brightdata_company_cache,https://www.linkedin.com/in/hannah-elten,2026-06-13T09:10:31Z
Automotive Business,media,Automotive Business é uma empresa de comunicação especializada na indústria automobilística e segmentos relacionados.,high,brightdata_company_cache,https://www.linkedin.com/in/rozmet-urunov-353146361,2026-06-13T09:10:31Z
Avenue Capital Group,finance,"Avenue Capital Group, founded in 1995 by Marc Lasry and Sonia Gardner, is primarily focused on making opportunistic credit and other special situations investments across the United States, Europe and Asia.",high,brightdata_company_cache,https://www.linkedin.com/in/phillip-mcgloin-%e9%ba%a6%e9%a3%9e-587935b7,2026-06-13T09:10:31Z
Axion,other,,low,needs_web_or_llm_research;needs_web_or_llm_research,https://www.linkedin.com/in/tennyson-brown-wolf-5831a3153,2026-06-13T09:10:31Z
Azodha,other,,low,needs_web_or_llm_research;needs_web_or_llm_research,https://www.linkedin.com/in/opeyemiawe,2026-06-13T09:10:31Z
BMJ,tech,"BMJ Group is a global healthcare knowledge provider. Our vision of a healthier world drives what we do; by sharing knowledge and expertise we help to improve patient outcomes through better evidence, better decisions and better systems.",high,brightdata_company_cache,https://www.linkedin.com/in/annadebeer,2026-06-13T09:10:31Z
BRIVE!,other,,medium,needs_web_or_llm_research;needs_web_or_llm_research,https://www.linkedin.com/in/zliu11,2026-06-13T09:10:31Z
BSU Incorporated,other,"We design and assemble printed circuit boards, cables and harnesses. Highly trained engineers, we pride ourselves on delivering complex, quick-turn parts - ranging in size from 0.2""x0.4"" to 20""x20"", with add-ons like conformal coatings, BGA repair and.",high,brightdata_company_cache,https://www.linkedin.com/in/leyla-sudbury-6575b382,2026-06-13T09:10:31Z
Bain & Company,consulting,Bain & Company is a global consultancy that helps the world’s most ambitious change makers define the future.,high,brightdata_company_cache,https://www.linkedin.com/in/franzhohmann,2026-06-13T09:10:31Z
Baker Botts,law,Baker Botts is an international law firm whose lawyers practice throughout a network of offices around the globe.,high,brightdata_company_cache,https://www.linkedin.com/in/justin-bryant-8331b3103,2026-06-13T09:10:31Z
Balt,healthcare,We are Balt. Physician-inspired innovations.,high,brightdata_company_cache,https://www.linkedin.com/in/ameeribrahim,2026-06-13T09:10:31Z
Banco Bolivariano,finance,"Desde su fundación a inicios de la década de los ochenta, el Banco Bolivariano ha tomado como principal directriz el servicio al cliente.",high,brightdata_company_cache,https://www.linkedin.com/in/leonardofocil,2026-06-13T09:10:31Z
Bank of America,finance,"Bank of America is one of the world's largest financial institutions, serving individuals, small- and middle-market businesses and large corporations with a full range of banking, investing, asset management and other financial and risk management products.",high,brightdata_company_cache,https://www.linkedin.com/in/charles-berman-49b067231,2026-06-13T09:10:31Z
Bank of America Merrill Lynch,finance,"From local communities to global markets, we are dedicated to shaping the future responsibly and helping clients thrive in a changing world.",high,brightdata_company_cache,https://www.linkedin.com/in/cowiya-arouna,2026-06-13T09:10:31Z
Bank of China,finance,"Bank of China, include BOC Hong Kong, BOC International, BOCG Insurance and other financial institutions, providing a comprehensive range of high-quality financial services to individual and corporate customers as well as financial institutions worldwide.",high,brightdata_company_cache,https://www.linkedin.com/in/zhengyuan-liu-851797209,2026-06-13T09:10:31Z
Barrick Mining Corporation,other,"Barrick is a leading global mining, exploration and development company.",high,brightdata_company_cache,https://www.linkedin.com/in/will-c-dixon,2026-06-13T09:10:31Z
Bechtel Corporation,other,,medium,needs_web_or_llm_research;needs_web_or_llm_research,https://www.linkedin.com/in/drobertson1231,2026-06-13T09:10:31Z
Beijing Academy of Artificial Intelligence(BAAI),education,Beijing Academy of Artificial Intelligence(BAAI) is a education organization.,high,heuristic_company_name_v1;heuristic_template_v1,https://www.linkedin.com/in/qingyan-zhang-20a6a0272,2026-06-13T09:10:31Z
Beijing Institute for General Artificial Intelligence (BIGAI),academia,Beijing Institute for General Artificial Intelligence (BIGAI) is a academia organization.,high,heuristic_company_name_v1;heuristic_template_v1,https://www.linkedin.com/in/wanyinghe,2026-06-13T09:10:31Z
Berggruen Institute,academia,"The Berggruen Institute’s mission is to develop foundational ideas and, through them, shape political, economic and social institutions for the 21st century.",high,brightdata_company_cache,https://www.linkedin.com/in/lochlan-zhang,2026-06-13T09:10:31Z
Binance,other,,low,needs_web_or_llm_research;needs_web_or_llm_research,https://www.linkedin.com/in/duogenggoh,2026-06-13T09:10:31Z
BlackRock,finance,BlackRock is a finance organization.,high,heuristic_company_name_v1;heuristic_template_v1,https://www.schwarzmanscholars.org/scholars/,2026-06-13T09:10:31Z
Blackstone,finance,Blackstone is the world’s largest alternative asset manager. Blackstone seeks to deliver compelling returns for institutional and individual investors by strengthening the companies in which the firm invests.,high,brightdata_company_cache,https://www.linkedin.com/in/zanele-mahlangu-2143a093,2026-06-13T09:10:31Z
Blakemore Foundation - Seattle,nonprofit,Blakemore Foundation - Seattle is a nonprofit organization.,high,heuristic_company_name_v1;heuristic_template_v1,https://www.linkedin.com/in/mirandamcc,2026-06-13T09:10:31Z
BlazersTech. Co,other,,medium,company_intelligence_cache,https://www.linkedin.com/in/jingxuan-su-52a5a3158,2026-06-13T09:10:31Z
Blockchain Founders Fund,finance,Blockchain Founders Fund (BFF) is a Singapore-based early-stage Venture Capital Fund that invests in top-tier Blockchain startups globally.,high,brightdata_company_cache,https://www.linkedin.com/in/alymadhavji,2026-06-13T09:10:31Z
Bloomberg,finance,"Bloomberg is a global leader in business and financial information, delivering trusted data, news, and insights that bring transparency and efficiency, and fairness to markets.",high,brightdata_company_cache,https://www.linkedin.com/in/hou-sang-samson-cheng,2026-06-13T09:10:31Z
Bloomberg News,media,Bloomberg News is a media organization.,high,heuristic_company_name_v1;heuristic_template_v1,https://www.linkedin.com/in/mayaprakash13,2026-06-13T09:10:31Z
Bloomberg Originals,media,Bloomberg Originals is a media organization.,high,heuristic_company_name_v1;heuristic_template_v1,https://www.linkedin.com/in/luciaweihe,2026-06-13T09:10:31Z
Blue Vista Property Development,realestate,Blue Vista Property Development is a realestate organization.,high,heuristic_company_name_v1;heuristic_template_v1,https://www.linkedin.com/in/jenniferwright,2026-06-13T09:10:31Z
Book Launchers,other,,low,needs_web_or_llm_research;needs_web_or_llm_research,https://www.linkedin.com/in/ashliekoehn,2026-06-13T09:10:31Z
Bosch China,other,,medium,needs_web_or_llm_research;needs_web_or_llm_research,https://www.linkedin.com/in/zhourb,2026-06-13T09:10:31Z
Boston Children's Hospital,healthcare,Boston Children's Hospital is a healthcare organization.,high,heuristic_company_name_v1;heuristic_template_v1,https://www.linkedin.com/in/mira-jiang-3b7247241,2026-06-13T09:10:31Z
Boston Consulting Group (BCG),consulting,Boston Consulting Group partners with leaders in business and society to tackle their most important challenges and capture their greatest opportunities.,high,brightdata_company_cache,https://www.linkedin.com/in/tagefossgardmoser,2026-06-13T09:10:31Z
Boston Housing Authority,government,"Boston Housing Authority (BHA) provides affordable housing to more than 58,000 residents in and around the City of Boston.",high,brightdata_company_cache,https://www.linkedin.com/in/sietse-goffard,2026-06-13T09:10:31Z
Bowdoin College,academia,Bowdoin College is a academia organization.,high,heuristic_company_name_v1;heuristic_template_v1,https://www.linkedin.com/in/yangeng-jiang-6b0085bb,2026-06-13T09:10:31Z
BrainVisionCenter,academia,,medium,brightdata_company_cache,https://www.linkedin.com/in/adamhalko,2026-06-13T09:10:31Z
Breakers Row,other,,low,needs_web_or_llm_research;needs_web_or_llm_research,https://www.linkedin.com/in/andrewjbilden,2026-06-13T09:10:31Z
Breyer Capital,finance,Breyer Capital is a global venture capital and private equity investor focused on catalyzing high-impact social and for-profit entrepreneurs.,high,brightdata_company_cache,https://www.linkedin.com/in/ted-breyer,2026-06-13T09:10:31Z
Bridgewater Associates,other,Bridgewater Associates is classified as Finance (Investment banking / asset management / private markets) from company-name evidence.,high,company_intelligence_cache,https://www.linkedin.com/in/hayden-rodenkirchen-4546887a,2026-06-13T09:10:31Z
British Chamber of Commerce in China (BritCham China),nonprofit,The British Chamber of Commerce in China has been at the heart of the British business community in China since the early days of reform and opening-up.,high,brightdata_company_cache,https://www.linkedin.com/in/kally-kangdeng-zhao,2026-06-13T09:10:31Z
British International Investment,finance,"We are the UK's development finance institution and impact investor, backed by the UK Government.",high,brightdata_company_cache,https://www.linkedin.com/in/justus-uwayesu,2026-06-13T09:10:31Z
Brunswick Group,other,,medium,needs_web_or_llm_research;needs_web_or_llm_research,https://www.linkedin.com/in/maggiewedeman,2026-06-13T09:10:31Z
Bubble,other,,medium,needs_web_or_llm_research;needs_web_or_llm_research,https://www.linkedin.com/in/sunannie,2026-06-13T09:10:31Z
Bureau Veritas,other,,low,needs_web_or_llm_research;needs_web_or_llm_research,https://www.linkedin.com/in/malik-abdul-majeed-739bbb1b5,2026-06-13T09:10:31Z
Bursa Malaysia,finance,"Bursa Malaysia Berhad 197601004668 (30632-P) today is one of the largest bourses in Asia with just under 1,000 listed companies offering a wide range of investment choices to the world.",high,brightdata_company_cache,https://www.linkedin.com/in/jonathandason,2026-06-13T09:10:31Z
Business Book Fair,other,A new type of business event: the only book fair dedicated exclusively to business literature and content.,high,brightdata_company_cache,https://www.linkedin.com/in/curleygutierrez,2026-06-13T09:10:31Z
ByteDance,tech,"ByteDance is a global incubator of platforms at the cutting edge of commerce, content, entertainment and enterprise services - over 2.5bn people interact with ByteDance products including TikTok.",high,brightdata_company_cache,https://www.linkedin.com/in/jiayi-zhang-369831222,2026-06-13T09:10:31Z
CEPI (Coalition for Epidemic Preparedness Innovations),academia,"CEPI is an innovative partnership between public, private, philanthropic and civil organisations.",high,brightdata_company_cache,https://www.linkedin.com/in/ozan-beran-akturan-386283109,2026-06-13T09:10:31Z
CICC,finance,"China International Capital Corporation Limited (CICC, 03908.HK，601995.SH) is a top tier investment bank, founded in China in 1995, providing first-class financial services to corporates, institutions and individuals worldwide.",high,brightdata_company_cache,https://www.linkedin.com/in/%e5%b0%a7%e6%93%8e-%e5%b0%bc-b91a41104,2026-06-13T09:10:31Z
CLAIMS,consulting,"World-class team of intellectual property lawyers educated in esteemed law schools, including University of London (UK), University of the Pacific McGeorge School of Law (USA), Université Paris 2 Panthéon-Assas (France).",high,brightdata_company_cache,https://www.linkedin.com/in/ianikiforov,2026-06-13T09:10:31Z
CMB International,other,,medium,needs_web_or_llm_research;needs_web_or_llm_research,https://www.linkedin.com/in/yujing-zhang-nyu2022,2026-06-13T09:10:31Z
CNN,media,"CNN Worldwide is the most honored brand in cable news, reaching more individuals on television and online than any other cable news organization in the United States.",high,brightdata_company_cache,https://www.linkedin.com/in/claire-zalla-4a4a2190,2026-06-13T09:10:31Z
CREO,nonprofit,"CREO is a 501(c)(3) not-for-profit organization that is helping mobilize more private capital into low-carbon and resource-efficient solutions by working with a network of qualified family offices, private investors, and advisors focused on collaboratively.",high,brightdata_company_cache,https://www.linkedin.com/in/ryan-buscaglia-21b77b192,2026-06-13T09:10:31Z
CVector,tech,"CVector bridges live controls data from industrial sites with dynamic market signals, enabling AI-driven energy techno-economic models, real-time optimization, and virtual operators for transformative operational and commercial decision-making.",high,brightdata_company_cache,https://www.linkedin.com/in/alex-kamath-565b9440,2026-06-13T09:10:31Z
California Latino Capitol Association Foundation,nonprofit,California Latino Capitol Association Foundation is a nonprofit organization.,high,heuristic_company_name_v1;heuristic_template_v1,https://www.linkedin.com/in/juan-carlos-becerra-jr-mmsc-345874223,2026-06-13T09:10:31Z
Caltech,academia,"The California Institute of Technology (Caltech) is a world-renowned science and engineering research and education institution, where extraordinary faculty, students and staff seek answers to complex questions, discover new knowledge, lead innovation, and.",high,brightdata_company_cache,https://www.linkedin.com/in/chrisyeh96,2026-06-13T09:10:31Z
